feature,selected_count,selection_frequency,variance_dropped_count,variance_dropped_fraction,correlation_dropped_count,correlation_dropped_fraction,total_dropped_count,total_dropped_fraction,shap_class0_all_folds,shap_class0_selected_only,shap_class1_all_folds,shap_class1_selected_only,shap_balanced_all_folds,shap_balanced_selected_only,permutation_f1_all_folds,permutation_f1_selected_only,permutation_balanced_acc_all_folds,permutation_balanced_acc_selected_only,permutation_pr_auc_all_folds,permutation_pr_auc_selected_only
CT - LeftEntorhinal,22,0.88,0,0.0,0,0.0,0,0.0,0.00011096602527359365,0.00012609775599272007,0.00027276785722503535,0.00030996347411935837,0.0001918669412493145,0.00021803061505603922,-0.0006058332680319307,-0.0006884468954908304,-0.000464095494799401,-0.0005273812440902283,-0.001067626986645035,-0.0012132124848239032
SV - LeftAccumbensArea,10,0.4,0,0.0,0,0.0,0,0.0,0.000123992422734342,0.00030998105683585506,0.00020594956107396718,0.0005148739026849179,0.00016497099190415458,0.0004124274797603865,0.00019274829977396495,0.00048187074943491237,0.0002209795491574183,0.0005524488728935457,-3.184861046363184e-05,-7.962152615907959e-05
CV - LeftFusiform,9,0.36,0,0.0,0,0.0,0,0.0,8.566116131460269e-05,0.00023794767031834078,0.00023352352062055816,0.0006486764461682171,0.0001595923409675804,0.000443312058243279,-7.505054148339693e-05,-0.00020847372634276928,-9.51868263591276e-05,-0.0002644078509975767,-0.00046874271964853956,-0.001302063110134832
CTS - RightParacentral,7,0.28,0,0.0,0,0.0,0,0.0,0.0001627846907522185,0.0005813738955436374,0.0001563854076427121,0.0005585193130096861,0.00015958504919746529,0.0005699466042766618,-0.00023441770252873365,-0.000837206080459763,-0.000132860284509173,-0.0004745010161041893,2.1517542214204536e-05,7.684836505073048e-05
CTS - LeftSupramarginal,7,0.28,0,0.0,0,0.0,0,0.0,0.0001665881429165967,0.0005949576532735596,0.00014770642822977382,0.0005275229579634779,0.00015714728557318528,0.0005612403056185187,-0.00013130376889942244,-0.0004689420317836516,-0.00011506421217259845,-0.00041094361490213733,-0.0001316326695340538,-0.000470116676907335
CT - RightMiddleTemporal,20,0.8,0,0.0,0,0.0,0,0.0,8.315178817242223e-05,0.00010393973521552779,0.00021601080486079372,0.00027001350607599214,0.00014958129651660798,0.00018697662064575996,-0.0006485067868179994,-0.0008106334835224993,-0.0007137555106647753,-0.0008921943883309691,9.574417096899227e-05,0.00011968021371124033
SV - Brainstem,1,0.04,0,0.0,0,0.0,0,0.0,6.526019723125257e-05,0.001631504930781314,0.00020300174007454127,0.005075043501863532,0.00013413096865289693,0.003353274216322423,0.00015795966695956442,0.003948991673989111,0.00012172587542871795,0.0030431468857179487,0.0002856274132858299,0.007140685332145748
SA - RightTransverseTemporal,8,0.32,0,0.0,0,0.0,0,0.0,9.451037853398407e-05,0.0002953449329187002,0.0001491835823600138,0.00046619869487504316,0.00012184698044699894,0.0003807718138968717,-4.519881037979196e-05,-0.00014124628243684988,-4.8133445501868985e-05,-0.00015041701719334058,-0.00016982682474489403,-0.0005307088273277938
CV - RightFusiform,7,0.28,0,0.0,0,0.0,0,0.0,6.719048095619174e-05,0.0002399660034149705,0.00013851211061002472,0.0004946861093215168,0.00010285129578310823,0.0003673260563682437,0.00022594196030574956,0.0008069355725205342,0.0002566672579773506,0.0009166687784905378,-3.771641115045928e-05,-0.00013470146839449746
CT - RightLingual,11,0.44,0,0.0,0,0.0,0,0.0,9.217492621808742e-05,0.00020948846867747142,9.417230335228874e-05,0.0002140279621642926,9.317361478518809e-05,0.00021175821542088202,-8.677744846604369e-05,-0.00019722147378646294,-8.884103614046329e-05,-0.0002019114457737802,-0.0004316928655125628,-0.0009811201488921881
